grantee,url,amount,date,program,purpose
Bush Foundation,https://hewlett.org/grants/bush-foundation-for-the-support-of-historically-black-private-colleges-and-universities-1/,900000,2000-11-30,Education,For The Support Of Historically Black Private Colleges And Universities
Stanford University,https://hewlett.org/grants/stanford-university-for-the-international-labor-studies-project/,40000,2000-11-27,Special Projects,For The International Labor Studies Project
Stanford University,https://hewlett.org/grants/stanford-university-for-benefit-recitals-to-raise-funds-for-the-friends-of-music-at-stanford-and-the-summer-string-workshop/,25000,2000-11-27,Special Projects,For Benefit Recitals To Raise Funds For The Friends Of Music At Stanford And The Summer String Workshop
International Community Foundation,https://hewlett.org/grants/international-community-foundation-to-establish-the-fundacion-internacional-de-la-comunidad-in-tijuana-mexico/,75000,2000-11-20,U.S.-Latin American Relations,"To Establish The Fundación Internacional De La Comunidad In Tijuana, Mexico"
Community Partners,https://hewlett.org/grants/community-partners-for-the-advancement-project/,75000,2000-11-15,Special Projects,For The Advancement Project
Conflict Management Group,https://hewlett.org/grants/conflict-management-group-for-the-applied-conflict-resolution-organizations-network/,50000,2000-11-09,Conflict Resolution,For The Applied Conflict Resolution Organizations Network
Salzburg Global Seminar,https://hewlett.org/grants/salzburg-global-seminar-for-the-universities-project/,750000,2000-11-08,Special Projects,For The Universities Project
Harvard University,https://hewlett.org/grants/harvard-university-for-the-social-capital-community-benchmark-phone-survey/,70000,2000-11-08,Special Projects,For The Social Capital Community Benchmark Phone Survey
"Rutgers, The State University of New Jersey",https://hewlett.org/grants/rutgers-the-state-university-of-new-jersey-for-the-global-civil-society-project/,50000,2000-11-08,Special Projects,For The Global Civil Society Project
University of California at San Diego,https://hewlett.org/grants/university-of-california-at-san-diego-for-a-pilot-climate-science-and-policy-seminar/,40000,2000-11-08,Special Projects,For A Pilot Climate Science And Policy Seminar
Brookings Institution,https://hewlett.org/grants/brookings-institution-for-a-report-on-metropolitan-growth-and-land-use-issues-in-the-los-angeles-region/,40000,2000-11-08,Special Projects,For A Report On Metropolitan Growth And Land-use Issues In The Los Angeles Region
New York University,https://hewlett.org/grants/new-york-university-for-a-conference-entitled-defining-the-future-of-the-liberal-arts-mission-a-national-symposium/,10000,2000-10-30,Education,For A Conference Entitled Defining The Future Of The Liberal Arts Mission: A National Symposium
Chronicle Season of Sharing Fund,https://hewlett.org/grants/chronicle-season-of-sharing-fund-for-general-support-6/,70000,2000-10-18,SF Bay Area,For General Support
Urban Institute,https://hewlett.org/grants/urban-institute-for-the-oakland-based-efforts-of-the-program-on-regional-economic-opportunity/,75000,2000-10-18,SF Bay Area,For The Oakland-based Efforts Of The Program On Regional Economic Opportunity
Community Foundation Silicon Valley,https://hewlett.org/grants/community-foundation-silicon-valley-for-the-palo-alto-weekly-holiday-fund-3/,40000,2000-10-18,SF Bay Area,For The Palo Alto Weekly Holiday Fund
San Jose Mercury News Wish Book Fund,https://hewlett.org/grants/san-jose-mercury-news-wish-book-fund-for-general-support-5/,25000,2000-10-18,SF Bay Area,For General Support
Saint Vincent de Paul Society of Santa Clara County,https://hewlett.org/grants/saint-vincent-de-paul-society-of-santa-clara-county-for-a-vocational-mentoring-project/,75000,2000-10-18,SF Bay Area,For A Vocational Mentoring Project
AXIS Dance Company,https://hewlett.org/grants/axis-dance-company-for-general-support-1/,60000,2000-10-17,Performing Arts,For General Support
Dance Through Time,https://hewlett.org/grants/dance-through-time-for-general-support-0/,20000,2000-10-17,Performing Arts,For General Support
Peninsula Ballet Theatre,https://hewlett.org/grants/peninsula-ballet-theatre-for-general-support-2/,20000,2000-10-17,Performing Arts,For General Support
